Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C17, C18, C19, C2, C3, C4",1206,8,C_s,
"C10, C11",1206,2,C_comm2,
"C12, C13, C14, C15",0603,4,330p,
"C20, C21, C22, C23",1210,4,C,
"C24, C25, C8, C9",1206,4,10u,
"C5, C6",1206,2,C_comm1,
C7,1206,1,C_det,
"D1, D10, D2, D3, D4, D5, D6, D9",D_PowerDI-5_3D,8,SB2060L,
D7,D_SMC,1,SMCJ28A,
D8,0603,1,LED,
F2,Fuseholder_Littelfuse_Nano2_157x,1,10A,
J1,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,WPT,
J2,AMASS_XT30PW-F_Horizontal,1,Conn_01x02_MountingPin,
"Q1, Q2, Q7, Q8",SOT-23,4,CJ2310,
"R1, R2, R3, R4",0603,4,100R,
"R10, R9",0603,2,33R,
R11,0603,1,100k,
R12,0603,1,240k,
R5,0603,1,10k,
