Designator,Footprint,Quantity,Value,LCSC Part #
BZ2,Buzzer_5020,1,Buzzer_5020,
"C1, C2, C32, C33, C43, C44, C45, C47, C9",0603,9,3n3,
"C10, C29, C34, C35, C39, C40, C41, C62, C63, C64, C65, C66, C72, C73, C87, C88, C96",0603,17,100n,
"C36, C37, C38, C42, C46, C79",0805,6,22u,
"C48, C49, C50, C74, C85, C86, C90, C94, C95",0603,9,4u7,
"C67, C68, C69, C70",1206,4,10u,
"C75, C77, C78, C89, C91",0603,5,20p,
"C92, C93",0603,2,10n,
D12,SOT-23,1,ESD1CAN,
"D13, D14, D27",WS2812B-2020,3,WS2812B-2020,
D15,0603,1,3V3,
"D18, D21, D7, D8",D_SMF,4,K34,
D19,0603,1,EH,
D20,D_SMF,1,SMF3V3A,
D22,0603,1,AH,
D23,0603,1,AL,
D24,0603,1,BH,
D25,0603,1,BL,
D26,0603,1,EL,
"F4, F5, F6",1206,3,1A 1206,
J1,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,SWD,
"J10, J11, J17, J18, J19, J8, J9",PinSocket_2x02_P2.00mm,7,Conn_F,
"J20, J21",JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,2,CAN3,
J22,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,Conn_01x04_MountingPin,
"L1, L4",L_Sunlord_SWPA3015S,2,4u7,
Q11,SOT-23,1,SI2300,
"R1, R40, R43, R45, R47, R48, R49, R50, R51",0603,9,10k,
"R15, R16, R17, R18, R19, R20, R25, R26, R27, R32, R33, R58, R59, R60, R61, R64",0603,16,2k2,
"R21, R28, R29, R30, R31, R39, R41, R46, R52, R53, R54, R55, R57, R62",0603,14,120R,
"R22, R23, R24, R63",0603,4,33k,
"R36, R56",0603,2,1k,
R42,0603,1,118k,
R44,0603,1,53k6,
SW3,Button_PTS810,1,BTN,
TH1,0603,1,Thermistor_NTC,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,9,TestPoint,
U12,LQFP-64_10x10mm_P0.5mm,1,STM32G474RBTx,
"U13, U14",SOT-23-6,2,RY8411,
"U16, U17",SOT-23-5,2,RS3236,
"U4, U6, U7, U8",TSSOP-8_4.4x3mm_P0.65mm,4,INA240A1PW,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1042T-3,
Y1,Crystal_SMD_2016,1,25Mhz_2016,
