Designator,Mid X,Mid Y,Rotation,Layer
BZ2,160.0,-89.0,270.0,top
C1,171.75,-112.25,270.0,top
C10,180.75,-118.5,180.0,top
C2,186.75,-112.25,270.0,top
C29,189.0,-109.25,0.0,top
C32,176.75,-118.75,270.0,top
C33,166.5,-116.0,180.0,top
C34,169.0,-121.0,270.0,top
C35,169.0,-124.0,270.0,top
C36,179.0,-100.25,0.0,bottom
C37,179.0,-102.01,0.0,bottom
C38,169.25,-128.25,270.0,bottom
C39,177.0,-124.5,180.0,top
C40,166.5,-114.5,0.0,top
C41,192.0,-114.5,0.0,top
C42,171.0,-128.25,270.0,bottom
C43,177.0,-123.0,180.0,top
C44,171.75,-115.25,90.0,top
C45,188.25,-115.25,90.0,top
C46,172.75,-128.25,270.0,bottom
C47,180.75,-128.0,0.0,top
C48,176.0,-135.0,270.0,top
C49,180.0,-135.0,270.0,top
C50,185.75,-126.0,180.0,top
C62,176.25,-96.75,0.0,top
C63,171.75,-108.5,90.0,top
C64,184.0,-114.0,270.0,top
C65,188.0,-101.25,270.0,top
C66,182.5,-114.0,270.0,top
C67,188.6,-97.5,90.0,bottom
C68,167.0,-118.5,0.0,bottom
C69,186.5,-97.5,90.0,bottom
C70,167.0,-120.75,0.0,bottom
C72,183.0,-100.75,180.0,bottom
C73,169.75,-124.25,90.0,bottom
C74,158.25,-96.5,0.0,top
C75,158.25,-95.0,0.0,top
C77,178.75,-97.5,180.0,bottom
C78,166.5,-128.5,90.0,bottom
C79,179.0,-103.75,0.0,bottom
C85,159.0,-118.25,0.0,top
C86,159.0,-109.75,0.0,top
C87,171.0,-104.75,180.0,top
C88,186.75,-119.25,0.0,top
C89,172.0,-101.5,270.0,top
C9,186.75,-115.25,90.0,top
C90,194.25,-102.75,180.0,top
C91,167.5,-101.5,90.0,top
C92,161.25,-115.25,270.0,top
C93,161.25,-106.75,270.0,top
C94,159.0,-112.25,0.0,top
C95,159.0,-103.75,0.0,top
C96,189.0,-107.75,0.0,top
D12,170.25,-127.75,180.0,top
D13,182.0,-135.0,90.0,top
D14,178.0,-135.0,90.0,top
D15,191.25,-102.75,0.0,top
D18,159.0,-93.0,0.0,top
D19,186.75,-128.25,90.0,top
D20,192.75,-100.75,180.0,top
D21,189.5,-104.25,180.0,bottom
D22,158.5,-82.5,180.0,top
D23,161.5,-82.5,0.0,top
D24,197.5,-82.5,0.0,top
D25,194.5,-82.5,180.0,top
D26,186.75,-131.25,270.0,top
D27,174.0,-135.0,90.0,top
D7,187.25,-101.5,0.0,bottom
D8,172.75,-119.75,90.0,bottom
F4,190.75,-100.5,90.0,bottom
F5,194.0,-97.25,270.0,top
F6,170.5,-119.75,90.0,bottom
J1,197.25,-91.5,90.0,top
J10,185.75,-123.25,0.0,bottom
J11,158.25,-99.75,270.0,bottom
J17,185.75,-134.75,0.0,bottom
J18,196.0,-79.25,0.0,bottom
J19,170.25,-134.75,0.0,bottom
J20,164.75,-127.75,90.0,top
J21,164.75,-121.0,90.0,top
J22,191.25,-126.5,270.0,top
J8,160.0,-79.25,0.0,bottom
J9,197.75,-99.75,270.0,bottom
L1,183.0,-103.25,0.0,bottom
L4,172.25,-124.25,270.0,bottom
Q11,162.0,-95.25,270.0,top
R1,168.0,-97.25,180.0,top
R15,178.25,-118.75,90.0,top
R16,170.25,-115.25,90.0,top
R17,189.75,-115.25,90.0,top
R18,177.0,-121.5,0.0,top
R19,168.75,-115.25,270.0,top
R20,192.0,-116.0,180.0,top
R21,172.5,-126.25,180.0,top
R22,168.75,-112.25,270.0,top
R23,189.75,-112.25,90.0,top
R24,180.75,-129.51,180.0,top
R25,180.75,-131.0,0.0,top
R26,170.25,-112.25,270.0,top
R27,188.25,-112.25,270.0,top
R28,159.25,-84.75,90.0,top
R29,160.75,-84.75,90.0,top
R30,194.5,-87.0,0.0,top
R31,195.25,-84.75,90.0,top
R32,184.5,-127.5,0.0,top
R33,184.5,-132.0,0.0,top
R36,192.0,-98.0,270.0,top
R39,165.0,-98.0,180.0,top
R40,162.0,-98.0,0.0,top
R41,184.5,-130.5,0.0,top
R42,178.75,-96.0,180.0,bottom
R43,181.75,-96.0,180.0,bottom
R44,165.0,-128.5,90.0,bottom
R45,165.0,-125.5,90.0,bottom
R46,184.5,-129.0,0.0,top
R47,184.5,-118.5,90.0,top
R48,179.25,-96.75,0.0,top
R49,171.0,-106.25,0.0,top
R50,176.75,-115.75,270.0,top
R51,183.0,-118.5,90.0,top
R52,186.75,-117.75,0.0,top
R53,189.5,-98.26,180.0,top
R54,189.5,-96.75,180.0,top
R55,180.75,-132.5,0.0,top
R56,178.25,-115.75,90.0,top
R57,189.0,-106.25,0.0,top
R58,157.75,-84.75,90.0,top
R59,162.25,-84.75,90.0,top
R60,197.5,-84.0,0.0,top
R61,193.75,-84.75,90.0,top
R62,189.0,-104.75,0.0,top
R63,195.25,-118.5,90.0,top
R64,196.75,-118.5,270.0,top
SW3,191.25,-119.25,0.0,top
TH1,168.0,-95.75,0.0,top
U12,180.0,-105.0,270.0,top
U13,183.0,-98.5,0.0,bottom
U14,167.5,-124.25,270.0,bottom
U16,159.0,-115.25,270.0,top
U17,159.0,-106.75,270.0,top
U4,180.75,-123.25,0.0,top
U5,172.5,-121.75,180.0,top
U6,177.0,-129.25,0.0,top
U7,166.25,-109.75,180.0,top
U8,192.25,-109.75,180.0,top
Y1,169.75,-101.5,180.0,top
