Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1n,
"C11, C13, C14, C23, C24",C_D8.0mm_P3.50mm,5,220u,
"C12, C25, C27, C28, C5",0603,5,4u7,
"C15, C16, C17, C18, C19, C20, C21, C22, C3, C30, C31, C4, C6",1206,13,10u,
"C26, C7, C8",0603,3,100n,
D1,D_SMC,1,SMCJ33A,
"D10, D2",D_SOD-323_HandSoldering,2,BZT52C11S,
"D11, D9",SOT-23,2,BAV99,
"D5, D6",D_SMC,2,SMCJ28A,
"F1, F2",Fuse_Littelfuse-NANO2-451_453,2,30A,
F3,Fuse_Littelfuse-NANO2-451_453,1,5A,
"J12, J13, J14, J15, J16, J3, J7",PinHeader_2x02_P2.00mm_Vertical_SMD,7,Conn_M,
J2,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,XT30-F,
"J4, J5, J6",AMASS_XT30U-M_1x02_P5.0mm_Vertical,3,XT30-M,
L2,L_Wuerth_HCI-1040,1,L,
L5,L_VER2923,1,10uH,
"Q1, Q2, Q3, Q4, Q5, Q6",TDSON-8-1,6,BSC070N10N,
"R1, R2, R4, R5, R6, R7",0603,6,R_Gate,
"R10, R3, R8, R9",2512,4,2mR,
"R11, R12, R13, R14",0603,4,4k7,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,UCC27201A,
"U2, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,UCC27211,
