Designator,Mid X,Mid Y,Rotation,Layer
C11,108.0,-132.75,270.0,top
C12,93.0,-83.0,270.0,top
C13,90.25,-116.25,270.0,top
C14,90.25,-107.75,270.0,top
C15,98.0,-108.0,180.0,top
C16,98.0,-106.0,180.0,top
C17,98.0,-104.0,180.0,top
C18,98.0,-102.0,180.0,top
C19,118.0,-102.0,0.0,top
C20,118.0,-104.0,0.0,top
C21,118.0,-106.0,0.0,top
C22,118.0,-108.0,0.0,top
C23,125.75,-116.25,270.0,top
C24,125.75,-107.75,270.0,top
C25,110.25,-126.0,180.0,top
C26,110.25,-127.5,180.0,top
C27,125.0,-95.0,0.0,top
C28,123.25,-83.25,90.0,top
C3,115.5,-111.0,0.0,top
C30,105.0,-127.0,180.0,top
C31,105.0,-124.75,180.0,top
C4,115.5,-113.0,0.0,top
C5,88.0,-95.0,0.0,top
C6,115.5,-115.0,0.0,top
C7,91.0,-95.0,0.0,top
C8,128.0,-95.0,0.0,top
D1,101.75,-133.25,0.0,bottom
D10,124.5,-85.75,180.0,top
D11,90.25,-83.25,180.0,top
D2,91.75,-85.5,0.0,top
D5,89.25,-100.0,90.0,bottom
D6,126.75,-100.0,90.0,bottom
D9,127.5,-83.5,0.0,top
F1,96.5,-119.25,90.0,top
F2,122.75,-124.25,270.0,top
F3,113.75,-132.0,0.0,bottom
J12,88.25,-99.75,90.0,top
J13,127.75,-99.75,90.0,top
J14,100.25,-134.75,0.0,top
J15,115.75,-134.75,0.0,top
J16,115.75,-123.0,0.0,top
J2,88.75,-126.0,90.0,top
J3,90.0,-79.25,0.0,top
J4,127.25,-126.0,90.0,top
J5,91.25,-134.25,0.0,top
J6,124.75,-134.25,180.0,top
J7,126.0,-79.25,0.0,top
L2,107.0,-110.75,0.0,top
L5,108.0,-85.25,0.0,top
Q1,98.25,-96.5,90.0,top
Q2,105.0,-97.25,0.0,top
Q3,117.75,-96.5,270.0,top
Q4,111.0,-97.25,0.0,top
Q5,107.7,-119.25,270.0,top
Q6,101.35,-119.9,0.0,top
R1,92.75,-92.25,270.0,top
R10,123.5,-99.75,270.0,top
R11,87.5,-83.25,90.0,top
R12,88.25,-85.75,0.0,top
R13,124.75,-83.25,270.0,top
R14,128.0,-86.0,180.0,top
R2,92.75,-89.25,270.0,top
R3,115.75,-118.5,0.0,top
R4,123.25,-92.25,270.0,top
R5,123.25,-88.75,270.0,top
R6,110.25,-124.5,180.0,top
R7,120.0,-126.5,90.0,top
R8,94.0,-127.25,90.0,top
R9,92.5,-99.75,90.0,top
U1,89.25,-90.5,0.0,top
U2,126.75,-90.5,0.0,top
U3,115.5,-128.25,270.0,top
