Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MLT-9032,1,Buzzer,
"C1, C2, C43, C51, C52, C59, C60, C67, C71, C77, C78",0603,11,4u7,
"C10, C34, C35, C5, C6, C62, C63, C7, C8, C9",1206,10,10u,
"C11, C12, C13, C14, C21, C26, C81, C82, C83, C84",C_Rect_L11.0mm_W5.1mm_P10.00mm_MKT,10,?,
"C15, C56, C57, C58",0603,4,10n,
"C16, C17, C74",0603,3,NC,
C18,0603,1,13n,
C19,0603,1,80p,
C20,0603,1,3n3,
"C22, C23, C45",0603,3,20p,
C24,0603,1,10u,
"C25, C27, C28, C29, C31, C33, C49, C50, C53, C55, C64, C65, C68, C75, C76",0603,15,100n,
"C3, C4",0603,2,Cbst,
"C30, C38",CP_Radial_D8.0mm_P3.50mm,2,220u,
"C32, C39, C40, C41, C42, C44, C46, C47, C48, C54, C61, C66",1206,12,?,
"C36, C37, C69, C70, C72, C73",0805,6,10u,
"D1, D4",D_SOD-123F,2,BZT52C3V3S,
"D17, D5",D_SMF,2,K34,
D18,0603,1,3V3,
D19,0603,1,5V,
"D2, D3",D_SMF,2,1N4007,
D20,0603,1,12V,
D22,0603,1,CHA1,
D24,0603,1,CHB1,
D6,SOT-23,1,ESD1CAN,
"D7, D8",WS2812B-2020,2,WS2812B-2020,
D9,D_SMC,1,SMCJ28A,
F1,Fuse_Littelfuse-NANO2-451_453,1,Fuse,
"F2, F3",1206,2,1A 1206,
"H10, H6, H7, H9",MountingHole_3.2mm_M3_DIN965_Pad,4,GND,
H13,TestPoint_Plated_Hole_D2.0mm,1,Coil_N,
H8,TestPoint_Plated_Hole_D2.0mm,1,Coil_P,
J1,AMASS_XT30U-F_Vertical,1,Coil,
J2,AMASS_XT30U-M_Vertical,1,Conn_01x02,
J3,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,1,10V,
J5,AMASS_XT30U-F_Vertical,1,Conn_01x02,
J6,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,SWD,
"J7, J8",JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,2,CAN3,
J9,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,1,WLED,
L1,L_90125_3P,1,Lp,
"L4, L5",L_Sunlord_SWPA3015S,2,4u7,
"Q1, Q3, Q5, Q6",TDSON-8-1,4,BSC070N10NS3G,
"Q2, Q4, Q7",SOT-23,3,AO3400A,
"R1, R2, R4, R5",0603,4,RGate,
"R10, R6, R7",0603,3,51k,
R11,0603,1,25k5,
"R12, R13, R19",0603,3,100k,
R14,0603,1,10nF,
"R15, R16, R20, R21, R3",0603,5,4k7,
"R17, R22, R23, R24, R27, R31, R42, R43, R46, R47, R48, R51, R52, R53",0603,14,120R,
R18,1206,1,R,
"R25, R28, R29, R38, R40, R44, R45, R49",0603,8,10k,
"R26, R30, R34, R55",0603,4,2k2,
"R32, R8, R9",0603,3,1k,
R35,2512,1,2mR,
R37,0603,1,118k,
R39,0603,1,53k6,
"R41, R50",0603,2,0R,
R54,0603,1,33k,
"SW1, SW3",Button_PTS810,2,BTN,
SW2,Button_PTS810,1,NRST,
"TP1, TP2",TestPoint_Pad_D1.5mm,2,TestPoint,
"U1, U2",SOIC-8_3.9x4.9mm_P1.27mm,2,UCC27211DRM,
"U10, U11",SOT-23-5,2,RS3236,
"U12, U13",SOT-23-6,2,RY8411,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1042T-3,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,GS8552-SR,
U9,LQFP-64_10x10mm_P0.5mm,1,STM32G474RBTx,
Y1,Crystal_SMD_2016,1,25Mhz_3225,
