Designator,Mid X,Mid Y,Rotation,Layer
BZ1,113.95,-69.7,90.0,top
C1,98.0,-93.5,90.0,top
C10,86.5,-82.75,90.0,top
C11,79.25,-109.5,180.0,bottom
C12,79.25,-103.75,180.0,bottom
C13,79.25,-98.0,180.0,bottom
C14,79.25,-92.25,180.0,bottom
C15,111.0,-121.25,270.0,top
C16,99.5,-80.5,90.0,top
C17,105.5,-80.5,270.0,top
C18,113.75,-104.5,180.0,top
C19,117.5,-112.75,270.0,top
C2,92.5,-93.5,90.0,top
C20,107.75,-79.75,180.0,top
C21,79.25,-115.25,180.0,bottom
C22,116.75,-87.5,0.0,top
C23,114.25,-85.5,90.0,top
C24,112.0,-98.5,180.0,bottom
C25,117.75,-90.75,90.0,top
C26,66.75,-115.25,0.0,bottom
C27,107.75,-82.75,180.0,top
C28,102.0,-85.75,135.0,top
C29,117.5,-109.75,90.0,top
C3,96.5,-93.5,90.0,top
C30,92.25,-74.5,180.0,bottom
C31,101.0,-86.75,135.0,top
C32,77.75,-101.0,0.0,top
C33,99.75,-73.0,90.0,top
C34,99.75,-106.75,270.0,top
C35,99.75,-115.75,270.0,top
C36,92.75,-119.75,270.0,top
C37,88.75,-110.75,270.0,top
C38,92.25,-86.5,180.0,bottom
C39,77.75,-103.25,0.0,top
C4,91.0,-93.5,90.0,top
C40,77.75,-105.5,0.0,top
C41,77.75,-107.75,0.0,top
C42,77.75,-110.0,0.0,top
C43,114.5,-81.75,270.0,top
C44,77.75,-112.25,0.0,top
C45,116.75,-79.5,0.0,top
C46,68.25,-101.0,0.0,top
C47,68.25,-103.25,0.0,top
C48,68.25,-105.5,0.0,top
C49,105.75,-101.75,180.0,top
C5,86.5,-78.25,270.0,top
C50,110.75,-82.75,0.0,top
C51,102.0,-113.8225,270.0,top
C52,102.0,-108.25,270.0,top
C53,99.0,-88.75,135.0,top
C54,68.25,-107.75,0.0,top
C55,117.75,-96.75,270.0,top
C56,100.0,-87.75,135.0,top
C57,105.0,-116.3225,180.0,top
C58,105.0,-110.75,180.0,top
